id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
1917,C10-0000013-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/4/19,4/3/22,,Paula Deeter,Data Not Available,"Amy Deeter, Paula Deeter",Data Not Available,Data Not Available,17875 Hwy One Hwy,Fort Bragg,CA,Mendocino,95437,Herbanlegend@live.Com,(707) 961-0113,Data Not Available,39.40355779,-123.8089373
1918,C10-0000014-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/4/19,4/3/22,,Hah Coalinga LLC,Have a Heart CC,"Adam  Levin, Jay Paul Henderon, Peter Horvath, Ryan Kunkel",Data Not Available,Data Not Available,286 5th St N,Coalinga,CA,Fresno,93210,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,36.14031925,-120.3612477
1919,C10-0000015-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/5/19,4/4/22,,Green Spirit Mendocino LLC,Data Not Available,"Christian Briggs, Harlan Ribnik, Leslie Ball, Tom Gingerich",Data Not Available,Data Not Available,138 Main St,Point Arena,CA,Mendocino,95468,Tom@greenspiritrx.Com,(214) 808-8649,Data Not Available,38.91163994,-123.69237
1920,C10-0000016-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/9/19,4/8/22,,Mission Herbal Care Inc,THE COOKIE COMPANY,Arthur Vugelman,Data Not Available,Data Not Available,3139 Mission St,San Francisco,CA,San Francisco,94110,Arthurvugelman@yahoo.Com,(323) 309-9090,Data Not Available,37.74703693,-122.4187455
1921,C10-0000017-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/9/19,4/8/22,,Northeastern Management Inc,Herbal Cruz,John Hadayia,Data Not Available,Data Not Available,1051 41st Ave,Santa Cruz,CA,Santa Cruz,95062,Unitedoil@msn.Com,(617) 717-4453,Data Not Available,36.967183,-121.965197
1922,C10-0000018-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/11/19,4/10/22,,"Malibu Community Collective, Inc.",Data Not Available,Michael Sutton,Data Not Available,Data Not Available,22523 Pacific Coast Hwy,Malibu,CA,Los Angeles,90265,Michael@malibucapLLC.Com,(310) 864-8965,Data Not Available,34.04013323,-118.6653952
1923,C10-0000019-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/12/19,4/11/22,,A.T.A.C.H.S. Inc.,A Therapeutic Alternative,"Kimberly Cargile, Richard Cormier",Data Not Available,Data Not Available,3015 H St,Sacramento,CA,Sacramento,95816,Atafrontdesk@gmail.Com,(916) 822-4717,Data Not Available,38.575439,-121.464897
1924,C10-0000020-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/15/19,4/14/22,,Sticky Grove,Wonderstump,"Melissa Caudill, Robert Derego",Data Not Available,Data Not Available,"1070 Us Highway 101 N, #a",Crescent City,CA,Del Norte,95531,Medicalgenetics@rocketmail.Com,(707) 218-5238,Data Not Available,41.76702493,-124.1936772
1925,C10-0000021-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/24/19,4/23/22,,"Delta Health & Wellness, Inc.",Data Not Available,"Diem  Quinlan, Hung Nguyen, Toan Chu",Data Not Available,Data Not Available,2416 17th St,Sacramento,CA,Sacramento,95818,Deltahealthwellness@gmail.Com,(916) 231-9934,Data Not Available,38.56216035,-121.490625
1926,C10-0000022-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/24/19,4/23/22,,"Cali Kosher, Inc",Empire Health and Wellness - Oakdale,Darron Silva,Data Not Available,Data Not Available,633 Armstrong Way,Oakdale,CA,Stanislaus,95361,Jdl272@yahoo.Com,(209) 216-8966,Data Not Available,37.752879,-120.833993
1927,C10-0000023-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/24/19,4/23/22,,"Sunset Herbal Corner, Inc.",Data Not Available,Arshavir Mertkhayan,Data Not Available,Data Not Available,11503 Burbank Blvd,North Hollywood,CA,Los Angeles,91601,Sunsetherbalcorner@gmail.Com,(323) 459-2227,Data Not Available,34.17247261,-118.3824158
1929,C10-0000025-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/26/19,4/25/22,,Accensus Group LLC,Canna Trading Company,Michael Fein,Data Not Available,Data Not Available,241 Main St,Weed,CA,Siskiyou,96094,Hi@cannatrading.Com,(415) 275-1925,Data Not Available,41.42434686,-122.3843284
1930,C10-0000026-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/26/19,4/25/22,,Gold Flora Partners LLC,King's Crew,"Christopher Martin, Daniel Thompson, Greg Gamet, Laurie Holcomb",Data Not Available,Data Not Available,5630 Pacific Coast Hwy E,Long Beach,CA,Los Angeles,90814,Greg@goldflora.Com,(720) 352-2380,Data Not Available,33.774777,-118.122418
1931,C10-0000027-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,4/30/19,4/29/22,,Blum San Leandro,Blum San Leandro,"Chandra Cox, Frank Knuettel, Ira Ritter, Jeffrey Batliner, Nick Kovacevich, Tiffany Davis, Uri Kunig",Data Not Available,Data Not Available,1915 Fairway Dr,San Leandro,CA,Alameda,94577,Businesscontact@unrivaledbrands.Com,(510) 338-4447,Data Not Available,37.703711,-122.16888
1932,C10-0000028-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/1/19,4/30/22,,"Sespe Creek Collective, Inc.",SCC,Chelsea Sutula,Data Not Available,Data Not Available,408 Bryant Cir,Ojai,CA,Ventura,93023,Info@sespe.Org,(855) 722-9333,Data Not Available,34.44302,-119.237835
1933,C10-0000029-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/1/19,4/30/22,,Palm Springs Organics LLC,Data Not Available,Julie Montante,Data Not Available,Data Not Available,400 E. Sunny Dunes Rd,Palm Springs,CA,Riverside,92264,Jmexotic@aol.Com,(760) 250-6477,Data Not Available,33.812513,-116.543677
1934,C10-0000030-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/1/19,4/30/22,,"Dbo Investments Ph, LLC",From The Earth,"Dan Zaharoni, Kintu Patel",Data Not Available,Data Not Available,2675 N Ventura Rd,Port Hueneme,CA,Ventura,93041,D@fteusa.Com,(805) 414-1394,Data Not Available,34.178193,-119.196402
1935,C10-0000031-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/3/19,5/2/22,,"Humboldt Relief, LLC",Elevate,"Anna Kay, Armen Tovmasyan, Haroutyun Vardanyan, Kevin  Krivitsky",Data Not Available,Data Not Available,20010 Ventura Blvd,Woodland HLS,CA,Los Angeles,91364,Humboldtrelief@yahoo.Com,(818) 312-6964,Data Not Available,34.1716067,-118.5687483
1936,C10-0000032-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,The Healing Center Needles,THE HEALING CENTER NEEDLES,"Corey Sadler, George Sadler",Data Not Available,Data Not Available,1400 Needles Hwy,Needles,CA,San Bernardino,92363,Georgesadlerlicense@gmail.Com,(760) 447-2663,Data Not Available,34.848882,-114.610876
1937,C10-0000033-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,"Berkeley Patients Group, Inc.",BPG,"Etienne  Fontan, Timothy Schick",Data Not Available,Data Not Available,2366 San Pablo Ave,Berkeley,CA,Alameda,94702,Compliance@mybpg.Com,(510) 540-6013,Data Not Available,37.863312,-122.290679
1938,C10-0000034-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,Emerald Perspective Cooperative Inc,Emerald Perspective,Richard Whippo,Data Not Available,Data Not Available,100 Pleasant Valley Rd W,Port Hueneme,CA,Ventura,93041,Emeraldperspective@gmail.Com,(805) 350-9874,Data Not Available,34.154715,-119.200269
1939,C10-0000035-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,"Vrc Lmt, Inc",Vapor Room,"Martin Olive, TINA GORDON",Data Not Available,Data Not Available,79 9th St,San Francisco,CA,San Francisco,94103,Martin@vaporroom.Com,(415) 626-2100,Data Not Available,37.77651641,-122.4150788
1940,C10-0000036-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,Sundial Collective,Sundial Collective,Ashley   Papazian,Data Not Available,Data Not Available,827 Twin View Blvd,Redding,CA,Shasta,96003,Lgm10@humboldt.Edu,(707) 298-8105,Data Not Available,40.618907,-122.370971
2002,C10-0000037-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/6/19,5/5/22,,"Studio City Caregivers, Inc.",Universal Collective,"Beckie  Zihan Yue, MIng Fong, Tony Fong",Data Not Available,Data Not Available,3625 Cahuenga Blvd W,Los Angeles,CA,Los Angeles,90068,Universalcollective@yahoo.Com,(323) 850-1847,Data Not Available,34.13430364,-118.3601936
2003,C10-0000038-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/7/19,5/6/22,,Lake Elsinore Community Investment Corporation,Data Not Available,"Joseph Martin, Patrick Martin",Data Not Available,Data Not Available,311 W Minthorn St,Lake Elsinore,CA,Riverside,92530,Mngstatelicensing@gmail.Com,(949) 293-2370,Data Not Available,33.67892486,-117.3272709
2004,C10-0000039-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/7/19,5/6/22,,"Central Coast Wellness, LLC",CENTRAL COAST WELLNESS CENTER,Bruce Kopitar,Data Not Available,Data Not Available,7932 Highway 9,Ben Lomond,CA,Santa Cruz,95005,Bruce@greensmartfarmer.Com,5.59787E+11,Data Not Available,37.08371735,-122.0896149
2005,C10-0000040-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/7/19,5/6/22,,The Black Card LLC,Data Not Available,"Marshall Crosby, Ryan Kunkel",Data Not Available,Data Not Available,7817 Oakport St,Oakland,CA,Alameda,94621,Lavelllawson@gmail.Com,(510) 240-2832,Data Not Available,37.74307,-122.1998783
2006,C10-0000041-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/8/19,5/7/22,,San Fernando Valley Patients Cooperative,Data Not Available,"Neranjika De Silva, Ramon Lamela",Data Not Available,Data Not Available,12527 San Fernando Rd,Sylmar,CA,Los Angeles,91342,Admin@sfvog.Org,(818) 280-6868,Data Not Available,34.29753577,-118.4579073
2007,C10-0000042-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/8/19,5/7/22,,Wonderland Oasis Inc,Sugarbudz,"DILDORA DIAZ ZAYNIYEVA, Felix Tsipris",Data Not Available,Data Not Available,9830 San Fernando Rd,Pacoima,CA,Los Angeles,91331,Wonderlandoasis9830@gmail.Com,(818) 216-8217,Data Not Available,34.2499829,-118.4033669
2008,C10-0000043-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/9/19,5/8/22,,Jessie Street Collective LLC,Bloom Room,"Daniel Bornstein, Dimitry Shkolnikov",Data Not Available,Data Not Available,471 Jessie St,San Francisco,CA,San Francisco,94103,Stephen@bloomroomsf.Com,(415) 543-7666,Data Not Available,37.78199725,-122.4083349
2009,C10-0000044-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,Bud And Bloom,Bud and Bloom,"Aaron Herzberg, Christopher Francy, Jocelyn Rosenwald, Kyle Kazan",Data Not Available,Data Not Available,1327 St. Gertrude Pl E,Santa Ana,CA,Orange,92705,Jocelyn@bfpminc.Com,(714) 576-2150,Data Not Available,33.719802,-117.852675
2010,C10-0000045-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,Palm Desert Hwy 111 E Retail LLC,West Coast Cannabis Club,"Joshua  Disalle, Kenneth  Churchill, Thomas Lopez",Data Not Available,Data Not Available,74425 Highway 111,Palm Desert,CA,Riverside,92260,Tom@westcoastcannabis.Club,(805) 603-0503,Data Not Available,33.72120013,-116.36867
2011,C10-0000046-LIC,Active,Annual,Commercial -  Retailer,Adult-Use,5/10/19,5/9/22,,"Really High Sierra, Inc.",High Sierra June Lake,John DeCoster,Data Not Available,Data Not Available,2555 Highway 158,June Lake,CA,Mono,93529,Highsierrajunelake@gmail.Com,(760) 914-4420,Data Not Available,37.78099511,-119.0743624
2012,C10-0000047-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,Agmd Logistics LLC,Ojai Greens,"Debbie Young, Jeff Millott",Data Not Available,Data Not Available,410 Bryant Cir,Ojai,CA,Ventura,93023,Jeff@ojaigreens.Com,(805) 861-6946,Data Not Available,34.44239,-119.23842
2013,C10-0000048-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,"Melrose Herbal Collective, Inc.",LA CANNABIS CO EST 2007,"ARMEN  PARONYAN, ROBERT FEDOR",Data Not Available,Data Not Available,1603 La Brea Ave S,Los Angeles,CA,Los Angeles,90019,Robertfedor@att.Com,(805) 886-5613,Data Not Available,34.045466,-118.345776
2014,C10-0000049-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,"Organic Green Treatment Center, LLC",LA CANNABIS CO EST 2007,"ARMEN PARONYAN, ARUTYUN YEGOYAN, GARNIK PARONYAN",Data Not Available,Data Not Available,3791 2nd Ave,Los Angeles,CA,Los Angeles,90018,Armenvn@yahoo.Com,(323) 778-8540,Data Not Available,34.01882338,-118.3190867
2015,C10-0000050-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/10/19,5/9/22,,"Phc Facilities, Inc.",Data Not Available,"Alison Worthington, Bryan  Olson, Cameron Wald, David Hart, Frank Savage, Guy Hussussian, James Kennedy, Jeffrey Clarke, Jesse Channon, Jonathan  May, Lars Boesgaard, Mary-Alice Miller, Michael  Abbott, Nicholas Vita, Rosemary Mazenet",Data Not Available,Data Not Available,1425 Long Beach Ave,Los Angeles,CA,Los Angeles,90021,Purpleheartdowntown@gmail.Com,(213) 493-4500,Data Not Available,34.0257,-118.242
2016,C10-0000051-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/13/19,5/12/22,,Bang Mingo LLC,Bang Mingo,"Benjamin Harris, Mark Yandow",Data Not Available,Data Not Available,100 H St,Isleton,CA,Sacramento,95641,Bangmingo@gmail.Com,(209) 205-8249,Data Not Available,38.16287996,-121.6038399
2017,C10-0000052-LIC,Active,Provisional,Commercial -  Retailer,Medicinal,5/14/19,5/13/22,,"San Diego Natural, Inc.",Data Not Available,"Austin  Birch, Darren Machulsky, Dylan Lair, Lincoln Fish, Loraine-Dale Hall",Data Not Available,Data Not Available,8530 Nelson Way N,Escondido,CA,San Diego,92026,Dmachulsky@yahoo.Com,(609) 462-4234,Data Not Available,33.27558543,-117.1472435
2018,C10-0000053-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/14/19,5/13/22,,"Bcok, Inc.",Stiiizy,Brian Mitchell,Data Not Available,Data Not Available,3326 Mission St,San Francisco,CA,San Francisco,94110,Retail.Mission@stiizy.Com,(415) 787-6006,Data Not Available,37.743591,-122.421543
2092,C10-0000054-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/14/19,5/13/22,,"Onesra Enterprises, Inc.","Euphoric Caregivers, Prop- 215",Arsen Ordoukhanian,Data Not Available,Data Not Available,10655 Pico Blvd W,Los Angeles,CA,Los Angeles,90064,Oarsen@ymail.Com,(310) 500-9858,Data Not Available,34.04277155,-118.4238064
2382,C10-0000055-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/15/19,5/14/22,,Rajwinder Bal,Data Not Available,Rajwinder Bal,Data Not Available,Data Not Available,2039 Yosemite Blvd,Modesto,CA,Stanislaus,95354,C.Doctors@yahoo.Com,(209) 527-0790,Data Not Available,37.63867758,-120.9602583
2383,C10-0000056-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/15/19,5/14/22,,"The Green Goddess, Inc.",Green Goddess Collective,"Andrea Lobato, Andrew Schweibold, Daniel Stein, Jim  Clark, John Curtis, John Huffman, Kyle Lui, Megan  Miller, Nick  Fasano, Rogelio Choy, Thomas  Jermoluk, Tony Kim",Data Not Available,Data Not Available,1716 Main St,Venice,CA,Los Angeles,90291,Daniel@greengoddesscollective.Com,(310) 396-7770,Data Not Available,33.98753478,-118.4704715
2384,C10-0000057-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/15/19,5/14/22,,"Jet Room, Inc.",Data Not Available,"Lisa Guerra, Manuel Serrano",Data Not Available,Data Not Available,17499 Adelanto Rd,Adelanto,CA,San Bernardino,92301,Marcella@jetroom.Com,(909) 531-3793,Data Not Available,34.56834009,-117.40067
2385,C10-0000058-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/19,5/15/22,,Central Valley - Sierra Associates,The Higher Conscious,Sadie Schut,Data Not Available,Data Not Available,100 Las Palmas Ave W,Patterson,CA,Stanislaus,95363,Thehigherconscious1@gmail.Com,(209) 606-7913,Data Not Available,37.46619237,-121.1423062
2386,C10-0000059-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/19,5/15/22,,"Valley Pure,LLC",VALLEY PURE,Bruce Kopitar,Data Not Available,Data Not Available,132 Valencia Blvd N,Woodlake,CA,Tulare,93286,Bruce@greensmartfarmer.Com,(559) 786-8882,Data Not Available,36.414466,-119.09864
2387,C10-0000060-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/19,5/15/22,,"Silverlake Caregivers Group, Inc.",Data Not Available,TOLABUS STEIN,Data Not Available,Data Not Available,2470 Fletcher Dr,Los Angeles,CA,Los Angeles,90039,Tobalus@gmail.Com,(213) 925-3158,Data Not Available,34.1071,-118.255
2388,C10-0000061-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/19,5/15/22,,"North Hollywood Compassionate Caregivers, Inc.",Data Not Available,"Anna Proshak, Anzhela Proshak",Data Not Available,Data Not Available,8085 Webb Ave,N Hollywood,CA,Los Angeles,91605,Angie91356@gmail.Com,(818) 399-9715,Data Not Available,34.21766989,-118.3898432
2389,C10-0000062-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/16/19,5/15/22,,Coastal Dispensary LLC,Data Not Available,"Joshua Ginsberg, Julian  Michalowski, Kimberly  Jones, Malante  Hayworth, Nicholas Easley",Data Not Available,Data Not Available,1019 Chapala St,Santa Barbara,CA,Santa Barbara,93101,Info@coastaldispensary.Com,(805) 380-7730,Data Not Available,34.4206816,-119.7039972
2391,C10-0000064-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/17/19,5/16/22,,"Hueneme Patient Consumer Collective, LLC.",HPC- Hueneme Patient Collective,Beth Thuna,Data Not Available,Data Not Available,501 Channel Islands Blvd W,Port Hueneme,CA,Ventura,93041,Marwayconsults@gmail.Com,(805) 203-3016,Data Not Available,34.17600658,-119.2120034
2392,C10-0000065-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/17/19,5/16/22,,"Homeopathic Cultivation, Inc",Mother Earth's Farmacy,"John Ramistella, Nicholas Kacha, PHILIP NORMAN",Data Not Available,Data Not Available,36633 Cathedral Canyon Dr N,Cathedral City,CA,Riverside,92234,Contact@mefarmacy.Com,(760) 832-8348,Data Not Available,33.782655,-116.467302
2393,C10-0000066-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/17/19,5/16/22,,Gravenstein 116 LLC,Solful,"Eli Melrod, Peter Dickstein, Richard McNally",Data Not Available,Data Not Available,785 Gravenstein Hwy S,Sebastopol,CA,Sonoma,95472,Eli@solful.Com,(415) 794-3363,Data Not Available,38.39483884,-122.8185487
2394,C10-0000067-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/19/19,5/18/22,,Remedy Inc.,Data Not Available,"Klint Jackson, Kristina Jackson",Data Not Available,Data Not Available,68945 Vista Chino St,Cathedral City,CA,Riverside,92234,Remedyinc.Meds@gmail.Com,(760) 832-7083,Data Not Available,33.84457536,-116.4595392
2395,C10-0000068-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/20/19,5/19/22,,Hah 5 LLC,Have a Heart CC,Joshua Chase,Data Not Available,Data Not Available,721 Broadway,Oakland,CA,Alameda,94607,Core@haveaheartcc.Com,(510) 333-6835,Data Not Available,37.7998443,-122.2742875
2396,C10-0000069-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,5/20/19,5/19/22,,Purple Heart Patient Center,Purple Heart,Keith Stephenson,Data Not Available,Data Not Available,415 4th St,Oakland,CA,Alameda,94607,Keithstepson@hotmail.Com,(510) 774-6727,Data Not Available,37.79689308,-122.2747917
2397,C10-0000070-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/20/19,5/19/22,,Hah 1 LLC,Have a Heart CC,Ryan Kunkel,Data Not Available,Data Not Available,1894 E. Hobsonway,Blythe,CA,Riverside,92225,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,33.6105,-114.571
2398,C10-0000071-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/20/19,5/19/22,,Mary Jane's Collective Caregivers,Data Not Available,Richard Warren,Data Not Available,Data Not Available,4901 Melrose Ave,Los Angeles,CA,Los Angeles,90029,Coletrickle36@yahoo.Com,(714) 614-6220,Data Not Available,34.08351779,-118.307123
2399,C10-0000072-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/20/19,5/19/22,,Mcflower Corporation,Sherbinskis,"Brent  Cox, Christopher Vaughn, Daniel Leeb, Mark Nguyen, Omar Mangalji",Data Not Available,Data Not Available,345 Fairfax Ave N,Los Angeles,CA,Los Angeles,90036,Mcflower@theknollagency.Com,(323) 801-8321,Data Not Available,34.077512,-118.361646
2400,C10-0000073-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/21/19,5/20/22,,Black Oak Gallery,Blum,"Dallas Imbimbo, Eric  Baum, Frank Knuettel, Jeff Batliner, Nick Kovacevich, Oren Schauble, Tiffany Davis, Uri Kunig",Data Not Available,Data Not Available,578 Grand Ave W,Oakland,CA,Alameda,94612,Businesscontact@unrivaledbrands.Com,(510) 338-4447,Data Not Available,37.812477,-122.270794
2401,C10-0000074-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,5/22/19,5/21/22,,"Sb License 01, LLC",Captain Jacks,"Jake Welty, Qiang Ye",Data Not Available,Data Not Available,100 W Hospitality Ln,San Bernardino,CA,San Bernardino,92408,Info@captainjacks420.Com,(909) 381-6400,Data Not Available,34.06621045,-117.2855554
